Iteration Number,W_0,FRONT ROBOT DISTANCE,BACK ROBOT DISTANCE,THETA
1,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-3.0515,-2.9515
0.0904,0.0904
3.1124,3.1124
2,0.1,0.860913027383,nan
T,H,E,T,A, ,B,E,L,O,W
-2.9515,-2.8515
0.0904,0.0904
3.1124,3.1124
3,0.1,0.87130049012,nan
T,H,E,T,A, ,B,E,L,O,W
-2.8515,-2.7515
0.0904,0.0904
3.1124,3.1124
4,0.1,0.957277730581,nan
T,H,E,T,A, ,B,E,L,O,W
-2.7515,-2.6515
0.0904,0.0904
3.1124,3.1124
5,0.1,inf,nan
T,H,E,T,A, ,B,E,L,O,W
-2.6515,-2.5515
0.0904,0.0904
3.1124,3.1124
6,0.1,0.916769099315,nan
T,H,E,T,A, ,B,E,L,O,W
-2.5515,-2.4515
0.0904,0.0904
3.1124,3.1124
7,0.1,1.05744008595,nan
T,H,E,T,A, ,B,E,L,O,W
-2.4515,-2.3515
0.0904,0.0904
3.1124,3.1124
8,0.1,1.35264324725,nan
T,H,E,T,A, ,B,E,L,O,W
-2.3515,-2.2515
0.0904,0.0904
3.1124,3.1124
9,0.1,1.4703427734,nan
T,H,E,T,A, ,B,E,L,O,W
-2.2515,-2.1515
0.0904,0.0904
3.1124,3.1124
10,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-2.1515,-2.0515
0.0904,0.0904
3.1124,3.1124
11,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-2.0515,-1.9515
0.0904,0.0904
3.1124,3.1124
12,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.9515,-1.8515
0.0904,0.0904
3.1124,3.1124
13,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.8515,-1.7515
0.0904,0.0904
3.1124,3.1124
14,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.7515,-1.6515
0.0904,0.0904
3.1124,3.1124
15,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.6515,-1.5515
0.0904,0.0904
3.1124,3.1124
16,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.5515,-1.4515
0.0904,0.0904
3.1124,3.1124
17,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.4515,-1.3515
0.0904,0.0904
3.1124,3.1124
18,0.1,0.610283901405,inf
T,H,E,T,A, ,B,E,L,O,W
-1.3515,-1.2515
0.0904,0.0904
3.1124,3.1124
19,0.1,0.828804520836,nan
T,H,E,T,A, ,B,E,L,O,W
-1.2515,-1.1515
0.0904,0.0904
3.1124,3.1124
20,0.1,0.848668761902,nan
T,H,E,T,A, ,B,E,L,O,W
-1.1515,-1.0515
0.0904,0.0904
3.1124,3.1124
21,0.1,0.93721168076,inf
T,H,E,T,A, ,B,E,L,O,W
-1.0515,-0.9515
0.0904,0.0904
3.1124,3.1124
22,0.1,1.21823246243,inf
T,H,E,T,A, ,B,E,L,O,W
-0.9515,-0.8515
0.0904,0.0904
3.1124,3.1124
23,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-0.8515,-0.7515
0.0904,0.0904
3.1124,3.1124
